"sleepcompanion","78aac115-0000-0000-3187-5cd2ee9e95f2","2019-02-01T03:46:29.271Z"
"#","question id","question type","question title","answer type","answer","next questions"
"1","email","EMAIL","Email Address","custom","email:testemail@test.de:0:0:0:0:0:0:0:","password1"
"29","TotalSleepTime__2","INT","How much sleep do you get on an ordinary night?","generic","TotalSleepTime__2::42:0:0:0:0:0:0:seconds","BedTime__2"
"30","BedTime__2","INT","What time do you usually go to bed?","generic","BedTime__2::42:0:0:0:0:0:0:seconds","LightsOutTime__2"
"31","LightsOutTime__2","INT","What time do you usually turn the lights out with the intention of going to sleep?","generic","LightsOutTime__2::42:0:0:0:0:0:0:seconds","SOL__2"
"32","SOL__2","INT","How long does it usually take you to fall asleep?","generic","SOL__2::42:0:0:0:0:0:0:seconds","WakeTime__2"
"33","WakeTime__2","INT","What time do you usually wake up?","generic","WakeTime__2::42:0:0:0:0:0:0:seconds","RiseTime__2"
"34","RiseTime__2","INT","What time do you usually get out of bed?","generic","RiseTime__2::42:0:0:0:0:0:0:seconds","WASO__2"
"35","WASO__2","INT","In total for the whole sleep period, how much time do you think you spend awake between first falling asleep and finally waking up before getting up?","generic","WASO__2::42:0:0:0:0:0:0:seconds","Nawakenings__2"
"36","Nawakenings__2","INT","How many times do you usually wake over the sleep period (excluding the final wakeup time)?","generic","Nawakenings__2::42:0:0:0:0:0:0:","VBedTime__3"
"37","VBedTime__3","INT","On the weekend (or when you have 3 or more days off), what time do you usually go to bed?","generic","VBedTime__3::42:0:0:0:0:0:0:seconds","VLightsOutTime__3"
"38","VLightsOutTime__3","INT","On the weekend (or when you have 3 or more days off), what time do you usually turn the lights out with the intention of going to sleep?","generic","VLightsOutTime__3::42:0:0:0:0:0:0:seconds","VSOL__3"
"39","VSOL__3","INT","On the weekend (or when you have 3 or more days off), how long does it usually take you to fall asleep?","generic","VSOL__3::42:0:0:0:0:0:0:seconds","VWakeTime__3"
"40","VWakeTime__3","INT","On the weekend (or when you have 3 or more days off), what time do you usually wake up?","generic","VWakeTime__3::42:0:0:0:0:0:0:seconds","VRiseTime__3"
"41","VRiseTime__3","INT","On the weekend (or when you have 3 or more days off), what time do you usually get out of bed?","generic","VRiseTime__3::42:0:0:0:0:0:0:seconds","VTotalSleepTime__3"
"42","VTotalSleepTime__3","INT","On the weekend (or when you have 3 or more days off), how much sleep do you usually get?","generic","VTotalSleepTime__3::42:0:0:0:0:0:0:seconds","VWASO__3"
"43","VWASO__3","INT","On the weekend (or when you have 3 or more days off), in total for the whole sleep period, how much time do you think you spend awake between first falling asleep and finally waking up before getting up?","generic","VWASO__3::42:0:0:0:0:0:0:seconds","VNawakenings__3"
"44","VNawakenings__3","INT","On the weekend (or when you have 3 or more days off), how many times do you usually wake over the sleep period (excluding the final wakeup time)?","generic","VNawakenings__3::42:0:0:0:0:0:0:","Hygiene__4"
"45","Hygiene__4","HIDDEN","How frequently do you engage in the following activities before going to bed?","generic","Hygiene__4:hidden value:0:0:0:0:0:0:0:","Hygiene_Exercise__4"
"46","Hygiene_Exercise__4","SINGLECHOICE","Exercise that causes you to sweat (within 1 hr before going to bed)","generic","Hygiene_Exercise__4:Always:0:0:0:0:0:0:0:","Hygiene_Work__4"
"47","Hygiene_Work__4","SINGLECHOICE","Work such as study, send/receive emails, other online activities before sleep","generic","Hygiene_Work__4:Always:0:0:0:0:0:0:0:","Hygiene_Light__4"
"48","Hygiene_Light__4","SINGLECHOICE","An activity under bright light conditions before sleep (this includes using smartphones, tablets or a laptop)","generic","Hygiene_Light__4:Always:0:0:0:0:0:0:0:","BedroomConditions__5"
"49","BedroomConditions__5","HIDDEN","Tell us about your bedroom conditions. Is your bedroom uncomfortable due to being￿￿￿","generic","BedroomConditions__5:hidden value:0:0:0:0:0:0:0:","BedroomConditions_TooBright__5"
"50","BedroomConditions_TooBright__5","SINGLECHOICE","Too bright","generic","BedroomConditions_TooBright__5:Unchecked:0:0:0:0:0:0:0:","BedroomConditions_TooStuffy__5"
"51","BedroomConditions_TooStuffy__5","SINGLECHOICE","Too stuffy","generic","BedroomConditions_TooStuffy__5:Unchecked:0:0:0:0:0:0:0:","BedroomConditions_Temperature__5"
"52","BedroomConditions_Temperature__5","SINGLECHOICE","Too hot or cold","generic","BedroomConditions_Temperature__5:Unchecked:0:0:0:0:0:0:0:","BedroomConditions_TooNoisy__5"
"53","BedroomConditions_TooNoisy__5","SINGLECHOICE","Too noisy","generic","BedroomConditions_TooNoisy__5:Unchecked:0:0:0:0:0:0:0:","BedroomConditions_NoIssues__5"
"54","BedroomConditions_NoIssues__5","SINGLECHOICE","No issues","generic","BedroomConditions_NoIssues__5:Unchecked:0:0:0:0:0:0:0:","BedConditions__6"
"55","BedConditions__6","TEXT","Tell us about your bed conditions. Is your bed uncomfortable due to...","generic","BedConditions__6:Answer text:0:0:0:0:0:0:0:","BedConditions_Blankets"
"56","BedConditions_Blankets","CHECKBOX","Too many or not enough blankets","generic","BedConditions_Blankets:Checked:0:0:0:0:0:0:0:","BedConditions_Pillow__6"
"57","BedConditions_Pillow__6","CHECKBOX","Uncomfortable pillow","generic","BedConditions_Pillow__6:Checked:0:0:0:0:0:0:0:","BedConditions_Mattress__6"
"58","BedConditions_Mattress__6","CHECKBOX","Uncomfortable mattress","generic","BedConditions_Mattress__6:Checked:0:0:0:0:0:0:0:","BedConditions_SharedBed__6"
"59","BedConditions_SharedBed__6","CHECKBOX","Uncomfortable shared bed","generic","BedConditions_SharedBed__6:Checked:0:0:0:0:0:0:0:","BedConditions_NoIssues__6"
"60","BedConditions_NoIssues__6","CHECKBOX","No issues","generic","BedConditions_NoIssues__6:Checked:0:0:0:0:0:0:0:","Pets"
"61","Pets","SINGLECHOICE","Do you have pets in your bedroom that wake you during the night?","generic","Pets:Yes:0:0:0:0:0:0:0:","BedActivity__7"
"62","BedActivity__7","HIDDEN","What activities do you do in bed before sleep?","generic","BedActivity__7:hidden value:0:0:0:0:0:0:0:","BedActivity_InBedTooLong__7"
"63","BedActivity_InBedTooLong__7","CHECKBOX","Regularly stay in bed too long (2 to 3 times per week)","generic","BedActivity_InBedTooLong__7:Checked:0:0:0:0:0:0:0:","BedActivity_WatchTV__7"
"64","BedActivity_WatchTV__7","CHECKBOX","Watch Television","generic","BedActivity_WatchTV__7:Checked:0:0:0:0:0:0:0:","BedActivity_Read__7"
"65","BedActivity_Read__7","CHECKBOX","Read","generic","BedActivity_Read__7:Checked:0:0:0:0:0:0:0:","BedActivity_EatDrink__7"
"66","BedActivity_EatDrink__7","CHECKBOX","Eat or Drink","generic","BedActivity_EatDrink__7:Checked:0:0:0:0:0:0:0:","BedActivity_Study__7"
"67","BedActivity_Study__7","CHECKBOX","Study","generic","BedActivity_Study__7:Checked:0:0:0:0:0:0:0:","BedActivity_PhoneMedia__7"
"68","BedActivity_PhoneMedia__7","CHECKBOX","Check Phone / Social Media","generic","BedActivity_PhoneMedia__7:Checked:0:0:0:0:0:0:0:","BedActivity_Think__7"
"69","BedActivity_Think__7","CHECKBOX","Think, plan or worry when awake","generic","BedActivity_Think__7:Checked:0:0:0:0:0:0:0:","BedActivity_NoIssues__7"
"70","BedActivity_NoIssues__7","CHECKBOX","None of the above","generic","BedActivity_NoIssues__7:Checked:0:0:0:0:0:0:0:","BedTimeRegularity"
"71","BedTimeRegularity","SINGLECHOICE","Do you go to bed or get out of bed at different times each day?","generic","BedTimeRegularity:Yes:0:0:0:0:0:0:0:","Naps"
"72","Naps","SINGLECHOICE","Do you take daytime naps lasting two or more hours?","generic","Naps:Always:0:0:0:0:0:0:0:","AlcoholFrequency"
"73","AlcoholFrequency","SINGLECHOICE","How often do you have a drink containing alcohol?","generic","AlcoholFrequency:Never:0:0:0:0:0:0:0:","AlcoholDrinks"
"74","AlcoholDrinks","SINGLECHOICE","How many standard drinks of alcohol do you typically consume in one day?","generic","AlcoholDrinks:1 to 2:0:0:0:0:0:0:0:","AlcoholExcess"
"75","AlcoholExcess","SINGLECHOICE","How often do you have six (6) or more standard drinks on one occasion?","generic","AlcoholExcess:Never:0:0:0:0:0:0:0:","AlcoholLastTime"
"76","AlcoholLastTime","INT","What time do you typically have your last alcoholic drink before sleep?","generic","AlcoholLastTime::42:0:0:0:0:0:0:seconds","CaffeineDrinks"
"77","CaffeineDrinks","SINGLECHOICE","In a typical day, how many drinks containing caffeine do you have (this includes coffee, tea, coca cola and other cola drinks, hot chocolate, energy drinks, ice teas?","generic","CaffeineDrinks:None:0:0:0:0:0:0:0:","CaffeineLast"
"78","CaffeineLast","INT","What time do you typically consume your last caffeinated drink?","generic","CaffeineLast::42:0:0:0:0:0:0:seconds","SmokingStatus"
"79","SmokingStatus","SINGLECHOICE","How often do you smoke tobacco or use smokeless tobacco (e.g. cigarettes, cigars, pipes, e-cigarettes, nicotine patches or gum, chewing tobacco)?","generic","SmokingStatus:Not at all:0:0:0:0:0:0:0:","SmokingLast"
"80","SmokingLast","INT","What time do you typically stop using tobacco/smokeless tobacco for the day?","generic","SmokingLast::42:0:0:0:0:0:0:seconds","DifficultyDuration"
"81","DifficultyDuration","SINGLECHOICE","How long have you had difficulty with your sleep?","generic","DifficultyDuration:Less than one month:0:0:0:0:0:0:0:","DifficultySleepWake__8"
"82","DifficultySleepWake__8","HIDDEN","Please rate the current (i.e. previous 2 weeks) severity of your difficulty sleeping problem(s).","generic","DifficultySleepWake__8:hidden value:0:0:0:0:0:0:0:","Difficulty_FallingAsleep__8"
"83","Difficulty_FallingAsleep__8","SINGLECHOICE","Difficulty falling asleep","generic","Difficulty_FallingAsleep__8:None:0:0:0:0:0:0:0:","Difficulty_StayingAsleep__8"
"84","Difficulty_StayingAsleep__8","SINGLECHOICE","Difficulty staying asleep","generic","Difficulty_StayingAsleep__8:None:0:0:0:0:0:0:0:","Difficulty_WakingTooEarly__8"
"85","Difficulty_WakingTooEarly__8","SINGLECHOICE","Problem waking up too early","generic","Difficulty_WakingTooEarly__8:None:0:0:0:0:0:0:0:","SleepSatisfied"
"86","SleepSatisfied","SINGLECHOICE","How Satisfied or Dissatisfied are you with your current sleep patterns?","generic","SleepSatisfied:Very Satisfied:0:0:0:0:0:0:0:","SleepImpact__9"
"87","SleepImpact__9","HIDDEN","Please tell us how much of an impact your sleep problem(s) have.","generic","SleepImpact__9:hidden value:0:0:0:0:0:0:0:","Impact_Notice__9"
"88","Impact_Notice__9","SINGLECHOICE","How noticeable to others do you think your sleep problem(s) is/are in terms of impairing the quality of your life?","generic","Impact_Notice__9:Not at all:0:0:0:0:0:0:0:","Impact_Worried__9"
"89","Impact_Worried__9","SINGLECHOICE","How worried/distressed are you about your current sleep problem(s)?","generic","Impact_Worried__9:Not at all:0:0:0:0:0:0:0:","Impact_Interfere__9"
"90","Impact_Interfere__9","SINGLECHOICE","To what extent do you consider your sleep problem to interfere with your daily functioning?","generic","Impact_Interfere__9:Not at all:0:0:0:0:0:0:0:","ESS_10"
"91","ESS_10","HIDDEN","How likely are you to doze off or fall asleep in the following situations, in contrast to feeling just tired?","generic","ESS_10:hidden value:0:0:0:0:0:0:0:","ESS_1__10"
"92","ESS_1__10","SINGLECHOICE","Sitting and reading","generic","ESS_1__10:0.0:0:0:0:0:0:0:0:","ESS_2__10"
"93","ESS_2__10","SINGLECHOICE","Watching TV","generic","ESS_2__10:0.0:0:0:0:0:0:0:0:","ESS_3__10"
"94","ESS_3__10","SINGLECHOICE","Sitting, inactive in a public place (e.g. a theatre or a meeting)","generic","ESS_3__10:0.0:0:0:0:0:0:0:0:","ESS_4__10"
"95","ESS_4__10","SINGLECHOICE","As a passenger in a car for an hour without a break","generic","ESS_4__10:0.0:0:0:0:0:0:0:0:","ESS_5__10"
"96","ESS_5__10","SINGLECHOICE","Lying down to rest in the afternoon when circumstances permit","generic","ESS_5__10:0.0:0:0:0:0:0:0:0:","ESS_6__10"
"97","ESS_6__10","SINGLECHOICE","Sitting and talking to someone","generic","ESS_6__10:0.0:0:0:0:0:0:0:0:","ESS_7__10"
"98","ESS_7__10","SINGLECHOICE","Sitting quietly after a lunch without alcohol","generic","ESS_7__10:0.0:0:0:0:0:0:0:0:","ESS_8__10"
"99","ESS_8__10","SINGLECHOICE","In a car, while stopped for a few minutes in the traffic","generic","ESS_8__10:0.0:0:0:0:0:0:0:0:","FSS_11"
"100","FSS_11","TEXT","Below are a series of statements regarding your fatigue.","generic","FSS_11:Answer text:0:0:0:0:0:0:0:","FSS_1__11"
"101","FSS_1__11","SINGLECHOICE","My motivation is lower when I am fatigued","generic","FSS_1__11:1.0:0:0:0:0:0:0:0:","FSS_2__11"
"102","FSS_2__11","SINGLECHOICE","Exercise brings on my fatigue","generic","FSS_2__11:1.0:0:0:0:0:0:0:0:","FSS_3__11"
"103","FSS_3__11","SINGLECHOICE","I am easily fatigued","generic","FSS_3__11:1.0:0:0:0:0:0:0:0:","FSS_4__11"
"104","FSS_4__11","SINGLECHOICE","Fatigue interferes with my physical functioning","generic","FSS_4__11:1.0:0:0:0:0:0:0:0:","FSS_5__11"
"105","FSS_5__11","SINGLECHOICE","Fatigue causes frequent problems for me","generic","FSS_5__11:1.0:0:0:0:0:0:0:0:","FSS_6__11"
"106","FSS_6__11","SINGLECHOICE","My fatigue prevents sustained physical functioning","generic","FSS_6__11:1.0:0:0:0:0:0:0:0:","FSS_7__11"
"107","FSS_7__11","SINGLECHOICE","Fatigue interferes with carrying out certain duties and responsibilities","generic","FSS_7__11:1.0:0:0:0:0:0:0:0:","FSS_8__11"
"108","FSS_8__11","SINGLECHOICE","Fatigue is among my three most disabling symptoms","generic","FSS_8__11:1.0:0:0:0:0:0:0:0:","FSS_9__11"
"109","FSS_9__11","SINGLECHOICE","Fatigue interferes with my work, family, or social life","generic","FSS_9__11:1.0:0:0:0:0:0:0:0:","DifficultySleepDesired"
"110","DifficultySleepDesired","SINGLECHOICE","Do you have difficulty falling asleep at your desired bedtime?","generic","DifficultySleepDesired:Not at all difficult:0:0:0:0:0:0:0:","FallAsleepEasy"
"111","FallAsleepEasy","SINGLECHOICE","On nights before ￿￿￿free days￿￿￿ (e.g. no work or other commitments next day) , do you fall asleep easily if you stay up later (an hour or more)?","generic","FallAsleepEasy:Yes:0:0:0:0:0:0:0:","SleepInLater"
"112","SleepInLater","SINGLECHOICE","If so, can you sleep in later (2 or more hours) easily?","generic","SleepInLater:Yes:0:0:0:0:0:0:0:","AccidentRisk"
"113","AccidentRisk","SINGLECHOICE","In the last 12 months, have you experienced excessive daytime sleepiness or episodes of falling asleep while driving which resulted in an accident or near-miss accident?  (Yes or No)","generic","AccidentRisk:Yes:0:0:0:0:0:0:0:","ShiftWake"
"114","ShiftWake","SINGLECHOICE","In the past month, while working non-standard shifts, did you have a problem with waking up too early and not being able to get back to sleep?","generic","ShiftWake:No problem:0:0:0:0:0:0:0:","ShiftWellBeing"
"115","ShiftWellBeing","SINGLECHOICE","In the past month, while working a non-standard shift, your sense of well-being￿￿was...","generic","ShiftWellBeing:Normal:0:0:0:0:0:0:0:","ShiftDoze"
"116","ShiftDoze","SINGLECHOICE","In the past month, how likely were you to doze off at work during your shift?","generic","ShiftDoze:Not at all:0:0:0:0:0:0:0:","ShiftDozeDriving"
"117","ShiftDozeDriving","SINGLECHOICE","How likely were you to doze off or fall asleep while driving after at least two days off work?","generic","ShiftDozeDriving:Not at all:0:0:0:0:0:0:0:","ConfirmProceedS3"
"118","ConfirmProceedS3","HIDDEN","Your responses indicate that you only have a￿￿mild problem breathing while asleep, would you like to continue with a detailed assessment?","generic","ConfirmProceedS3:hidden value:0:0:0:0:0:0:0:","Weight"
"119","Weight","TEXT","What is your current Weight?","generic","Weight:Answer text:0:0:0:0:0:0:0:kg","Height"
"120","Height","TEXT","What is your current Height?","generic","Height:Answer text:0:0:0:0:0:0:0:cm","ResponderSnoring_12"
"121","ResponderSnoring_12","HIDDEN","The following questions refer to your snoring and breathing.","generic","ResponderSnoring_12:hidden value:0:0:0:0:0:0:0:","MySnoring_Bothers__12"
"122","MySnoring_Bothers__12","SINGLECHOICE","Has your snoring ever bothered anyone?","generic","MySnoring_Bothers__12:Yes:0:0:0:0:0:0:0:","MySnoring_StopBreathing__12"
"123","MySnoring_StopBreathing__12","SINGLECHOICE","Has anyone ever seen you stopping breathing in your sleep?","generic","MySnoring_StopBreathing__12:Yes:0:0:0:0:0:0:0:","MySnoring_HighBP__12"
"124","MySnoring_HighBP__12","SINGLECHOICE","Do you have or are you being treated for high blood pressure?","generic","MySnoring_HighBP__12:Yes:0:0:0:0:0:0:0:","MySnoring_Back__12"
"125","MySnoring_Back__12","SINGLECHOICE","Is your snoring mainly a problem when you sleep on your back?","generic","MySnoring_Back__12:Yes:0:0:0:0:0:0:0:","MySnoring_Nose__12"
"126","MySnoring_Nose__12","SINGLECHOICE","Is your nose usually or often blocked?","generic","MySnoring_Nose__12:Yes:0:0:0:0:0:0:0:","SnoringFrequency"
"127","SnoringFrequency","SINGLECHOICE","How often do you snore?","generic","SnoringFrequency:Every night:0:0:0:0:0:0:0:","SnoringDuration"
"128","SnoringDuration","SINGLECHOICE","How much of the night do you snore?","generic","SnoringDuration:All the time (throughout the night):0:0:0:0:0:0:0:","SnoringLoudness"
"129","SnoringLoudness","SINGLECHOICE","How loud is your snoring?","generic","SnoringLoudness:Snoring can be heard throughout the floor/flat or louder with the bedroom door closed:0:0:0:0:0:0:0:","SnoringAnnoy"
"130","SnoringAnnoy","SINGLECHOICE","How annoying is your snoring?","generic","SnoringAnnoy:Extremely:0:0:0:0:0:0:0:","ConfirmProceedS4"
"131","ConfirmProceedS4","HIDDEN","Your responses indicate that your partner's breathing might bother you, but only slightly. Would you like to continue with a detailed assessment?","generic","ConfirmProceedS4:hidden value:0:0:0:0:0:0:0:","PartnerSnoringBother"
"132","PartnerSnoringBother","SINGLECHOICE","Does your partner or room mate￿￿￿s snoring bother you?","generic","PartnerSnoringBother:Yes:0:0:0:0:0:0:0:","PartnerSex"
"133","PartnerSex","SINGLECHOICE","What is your partner's sex?","generic","PartnerSex:Female:0:0:0:0:0:0:0:","PartnerAge"
"134","PartnerAge","INT","What is your partner's age?","generic","PartnerAge::42:0:0:0:0:0:0:years","PartnerWeight"
"135","PartnerWeight","INT","What is your partner's weight?","generic","PartnerWeight::42:0:0:0:0:0:0:kg","PartnerHeight"
"136","PartnerHeight","INT","What is your partner's height?","generic","PartnerHeight::42:0:0:0:0:0:0:cm","PartnerProblems__13"
"137","PartnerProblems__13","HIDDEN","The following questions refer to your partner's snoring and breathing.","generic","PartnerProblems__13:hidden value:0:0:0:0:0:0:0:","PartnerSnoring_StopBreathing__13"
"138","PartnerSnoring_StopBreathing__13","SINGLECHOICE","Have you ever seen your Partner stopping breathing in their sleep?","generic","PartnerSnoring_StopBreathing__13:Yes:0:0:0:0:0:0:0:","PartnerSleepy__13"
"139","PartnerSleepy__13","SINGLECHOICE","Does your partner frequently doze during the day at inappropriate or potentially dangerous situations (e.g. while driving)?","generic","PartnerSleepy__13:Yes:0:0:0:0:0:0:0:","PartnerSnoring_HighBP__13"
"140","PartnerSnoring_HighBP__13","SINGLECHOICE","Does your partner have or is your Partner being treated for high blood pressure?","generic","PartnerSnoring_HighBP__13:Yes:0:0:0:0:0:0:0:","PartnerSnoring_Back__13"
"141","PartnerSnoring_Back__13","SINGLECHOICE","Is your Partner￿￿￿s snoring mainly a problem when they sleep on their back?","generic","PartnerSnoring_Back__13:Yes:0:0:0:0:0:0:0:","PartnerSnoring_Nose__13"
"142","PartnerSnoring_Nose__13","SINGLECHOICE","Is your Partner￿￿￿s nose usually or often blocked?","generic","PartnerSnoring_Nose__13:Yes:0:0:0:0:0:0:0:","PartnerSnoreFreq"
"143","PartnerSnoreFreq","SINGLECHOICE","How often does your partner snore?","generic","PartnerSnoreFreq:Every night:0:0:0:0:0:0:0:","PartnerSnoreDuration"
"144","PartnerSnoreDuration","SINGLECHOICE","How much of the night does your partner snore?","generic","PartnerSnoreDuration:All the time (throughout the night):0:0:0:0:0:0:0:","PartnerSnoreLoudness"
"145","PartnerSnoreLoudness","SINGLECHOICE","How loud is your partner's snoring?","generic","PartnerSnoreLoudness:Snoring can be heard throughout the floor/flat or louder with the bedroom door closed:0:0:0:0:0:0:0:","PartnerSnoreAnnoy"
"146","PartnerSnoreAnnoy","SINGLECHOICE","How annoying is your partner's snoring?","generic","PartnerSnoreAnnoy:Don't know:0:0:0:0:0:0:0:",""
